wine_name,vivino_rating,vivino_num_ratings,vivino_price,vivino_url
2020 Neethlingshof Estate - Unwooded Chardonnay - White - 750 ml - Standard Bottle,3.7,94 ratings,$68,https://www.vivino.com/SG/en/neethlingshof-unwooded-chardonnay/w/78333?year=2020&price_id=37031005
2020 Pertaringa - Lakeside Chardonnay - White - 750 ml - Standard Bottle,3.9,4599 ratings,$41.93,https://www.vivino.com/SG/en/kendall-jackson-vintner-s-reserve-chardonnay/w/2132?year=2020&price_id=38327012
2020 Franschhoek Cellar - Waterside Unoaked Chardonnay - White - 750 ml - Standard Bottle,3.8,46 ratings,N/A,https://www.vivino.com/SG/en/franschhoek-cellar-waterside-unoaked-chardonnay/w/7264880?year=2020
2020 Rosa del Golfo - Primitivo Salento - Red - 750 ml - Standard Bottle,3.9,30 ratings,N/A,https://www.vivino.com/SG/en/rosa-del-golfo-primitivo/w/1841113?year=2020
2020 Casa Silva - Dona Dominga Sauvignon Blanc - White - 750 ml - Standard Bottle,3.2,based on all vintages,N/A,https://www.vivino.com/SG/en/dona-dominga-sauvignon-blanc-semillon/w/18275?year=2020
2019 Leconfield - Merlot Coonawarra - Red - 750 ml - Standard Bottle,3.7,based on all vintages,N/A,https://www.vivino.com/SG/en/leconfield-cabernet-merlot/w/1186002?year=2019
2019 Leconfield - Shiraz - Red - 750 ml - Standard Bottle,N/A,Not enough ratings,N/A,https://www.vivino.com/SG/en/leconfield-glenroy-siding-cabernet-shiraz/w/7408360?year=2019
2021 Franschhoek Cellar - La Cotte Mill Chenin Blanc - White - 750 ml - Standard Bottle,3.8,140 ratings,N/A,https://www.vivino.com/SG/en/franschhoek-cellar-chenin-blanc-la-cotte-mill/w/77942?year=2021
2019 Mitolo - Cabernet Sauvignon Jester - Red - 750 ml - Standard Bottle,3.9,101 ratings,$46,https://www.vivino.com/SG/en/mitolo-jester-cabernet-sauvignon/w/79008?year=2019&price_id=34913892
2018 Fantinel - Zuccolo Friuli Grave Pinot Grigio - White - 750 ml - Standard Bottle,3.8,474 ratings,$41,https://www.vivino.com/SG/en/fantinel-pinot-grigio-borgo-tesis/w/14661?year=2018&price_id=38062734
2017 Neethlingshof Estate - Cabernet Sauvignon - Red - 750 ml - Standard Bottle,3.8,34 ratings,N/A,https://www.vivino.com/SG/en/neethlingshof-cabernet-sauvignon-merlot/w/78324?year=2017
2019 Casal Bordino - Montepulciano d'Abruzzo - Red - 750 ml - Standard Bottle,3.2,84 ratings,N/A,https://www.vivino.com/SG/en/casal-bordino-collezione-montepulciano-d-abruzzo/w/1160601?year=2019
2019 Casal Bordino - Trebbiano d'Abruzzo - White - 750 ml - Standard Bottle,3.3,42 ratings,N/A,https://www.vivino.com/SG/en/casal-bordino-collezione-trebbiano-d-abruzzo/w/1215217?year=2019
2020 Awatere River Wines - Sauvignon Blanc - White - 750 ml - Standard Bottle,3.7,604 ratings,N/A,https://www.vivino.com/SG/en/wines-n-roses-sympathy-for-the-devil-verdejo-sauvignon-blanc/w/8316812?year=2020
2021 Chateau Minuty - M Rose - Rose - 750 ml - Standard Bottle,4.1,343 ratings,$48,https://www.vivino.com/SG/en/fr-saint-maur-m-cotes-de-provence-rose/w/2493396?year=2021&price_id=37067076
