name_plat,year_plat,quantity_plat,volume_plat,quantity_main,price_plat,price_main,price_diff,price_diff_pct,cheaper_side,url_plat,url_main,platinum_vivino_rating,platinum_vivino_num_ratings,platinum_vivino_url
2021 Roagna - Solea - White - 750 ml - Standard Bottle,2021,1,750ml,1,160.00,160.00,0.0,0.0,Same Price,https://platwineclub.wineportal.com/wines/2021-roagna-solea-white-750-ml-standard-bottle,https://grandcruwines.com/products/2021-roagna-solea,,,
2020 Markus Molitor - Brauneberger Klostergarten Pinot Noir Trocken Three Star - Red - 750 ml - Standard Bottle,2020,1,750ml,1,160.00,160.00,0.0,0.0,Same Price,https://platwineclub.wineportal.com/wines/2020-markus-molitor-brauneberger-klostergarten-pinot-noir-trocken-three-star-red-750-ml-standard-bottle,https://grandcruwines.com/products/2020-markus-molitor-brauneberger-klostergarten-pinot-noir-trocken-three-star,,,
NV Dhondt-Grellet - Extra Brut Blanc de Blancs Premier Cru Les Terres Fines (Base 2022) - White - 750 ml - Standard Bottle,2022,1,750ml,1,165.00,165.00,0.0,0.0,Same Price,https://platwineclub.wineportal.com/wines/nv-dhondt-grellet-extra-brut-blanc-de-blancs-premier-cru-les-terres-fines-base-2022-white-750-ml-standard-bottle,https://grandcruwines.com/products/nv-dhondt-grellet-extra-brut-blanc-de-blancs-premier-cru-les-terres-fines-base-2022,,,
2022 Roagna - Derthona Montemarzino - White - 750 ml - Standard Bottle,2022,1,750ml,1,190.00,190.00,0.0,0.0,Same Price,https://platwineclub.wineportal.com/wines/2022-roagna-derthona-montemarzino-white-750-ml-standard-bottle,https://grandcruwines.com/products/2022-roagna-derthona-montemarzino,,,
2022 La Croix de Brully - Puligny-Montrachet Les Enseignères - White - 750 ml - Standard Bottle,2022,1,750ml,1,198.00,198.00,0.0,0.0,Same Price,https://platwineclub.wineportal.com/wines/2022-la-croix-de-brully-puligny-montrachet-les-enseigneres-white-750-ml-standard-bottle,https://grandcruwines.com/products/2022-la-croix-de-brully-puligny-montrachet-les-enseign-res,,,
2022 Frescobaldi - Giramonte - Red - 750 ml - Standard Bottle,2022,1,750ml,1,255.00,255.00,0.0,0.0,Same Price,https://platwineclub.wineportal.com/wines/2022-frescobaldi-giramonte-red-750-ml-standard-bottle,https://grandcruwines.com/products/2022-frescobaldi-giramonte,,,
2022 Roagna - Solea - White - 1.5 L - Magnum,2022,1,1.5l,1,340.00,340.00,0.0,0.0,Same Price,https://platwineclub.wineportal.com/wines/2022-roagna-solea-white-1-5-l-magnum,https://grandcruwines.com/products/2022-roagna-solea-1-5-l-magnum,,,
2014 Rhys - Chardonnay Bearwallow Vineyard - White - 1.5 L - Magnum,2014,1,1.5l,1,390.00,390.00,0.0,0.0,Same Price,https://platwineclub.wineportal.com/wines/2014-rhys-chardonnay-bearwallow-vineyard-white-1-5-l-magnum,https://grandcruwines.com/products/2014-rhys-chardonnay-bearwallow-vineyard-1-5-l-magnum,,,
2022 00 Wines - Freya Hermann Cuvee Chardonnay - White - 750 ml - Standard Bottle,2022,1,750ml,1,390.00,390.00,0.0,0.0,Same Price,https://platwineclub.wineportal.com/wines/2022-00-wines-freya-hermann-cuvee-chardonnay-white-750-ml-standard-bottle,https://grandcruwines.com/products/2022-00-wines-freya-hermann-cuvee-chardonnay,,,
2022 Domaine Claude Dugat - La Gibryotte Charmes Chambertin Grand Cru - Red - 750 ml - Standard Bottle (Bundle of 3),2022,3,750ml,1,390.00,390.00,0.0,0.0,Same Price,https://platwineclub.wineportal.com/wines/2022-domaine-claude-dugat-la-gibryotte-charmes-chambertin-grand-cru-red-750-ml-standard-bottle-bundle-of-3,https://grandcruwines.com/products/2022-domaine-claude-dugat-la-gibryotte-charmes-chambertin-grand-cru,,,
